TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc
Non-binding_donor3_row38033_cand000213,none,9666.4999888596,AB,MP,P,M,MP_AB,M_P,1019.7960476764856,1019.7960476764856,1640.909670234956,2292.6710153884483,2292.6710153884483,1883.6102613383628,1019.7960476761618
Non-binding_donor2_row37945_cand000405,none,17212.917734257608,AB,MP,P,M,MP_AB,M_P,4739.881940932308,4739.881940932308,1835.474243465756,2153.2626351724716,2153.2626351724716,1904.7098104043648,4739.881940932186
Non-binding_donor3_row38103_cand000274,none,13276.03629683532,AB,MP,P,M,MP_AB,M_P,1912.4124799690562,1912.4124799690562,1926.2552639446856,2186.362414526259,2186.362414526259,1920.723966479265,1912.4124799690198
Non-binding_donor3_row38502_cand000509,none,13876.321406301651,AB,MP,P,M,MP_AB,M_P,1333.467691952128,1333.467691952128,1890.680403969738,2072.7344102520433,2072.7344102520433,1883.8395665739993,1333.4676919519352
Non-binding_donor3_row38721_cand000515,none,10091.961144089473,AB,MP,P,M,MP_AB,M_P,1551.0845657514783,1551.0845657514783,1794.6879777277138,2275.1388825026193,2275.1388825026193,1859.6215174996657,1551.0845657516184
Non-binding_donor3_row38752_cand000231,none,12249.880725381774,AB,MP,P,M,MP_AB,M_P,1852.0008562894545,1852.0008562894545,1908.0327078606522,2092.8705577326004,2092.8705577326004,1876.5829064232275,1852.0008562896583
Non-binding_donor3_row39083_cand000501,none,16280.66852281129,AB,MP,P,M,MP_AB,M_P,7322.400670093686,7322.400670093686,1868.2590045844265,1898.1831271933215,1898.1831271933215,1877.2934571112805,7322.400670093337
Non-binding_donor3_row39144_cand000513,none,40229.70800341547,AB,MP,P,M,MP_AB,M_P,11322.77581019653,11322.77581019653,1677.3884944071524,2215.2598168703994,2215.2598168703994,1894.1357292526477,11322.775810196326
Non-binding_donor3_row39145_cand000226,none,32135.50713321526,AB,MP,P,M,MP_AB,M_P,11355.566189975401,11355.566189975401,1664.72587470231,2135.0396729826734,2135.0396729826734,1895.1350659972454,11355.566189975729
Non-binding_donor3_row39158_cand000060,none,28993.647255876644,AB,MP,P,M,MP_AB,M_P,7262.071603149783,7262.071603149783,1730.9440621309382,2128.641194149748,2128.641194149748,1933.4819509744361,7262.07160314982
