,PC1_loading,PC2_loading
BA_sin,-0.1290907342017852,0.5497494777351151
BA_cos,-0.08518895169799717,0.15922098360811476
BC1_sin,0.46758747235126963,0.1176389387889832
BC1_cos,0.45781080320199574,0.13961616722061626
AC1_sin,0.30386778359068567,0.1846079825876148
AC1_cos,-0.33950635647806304,0.17723259885405673
BC2_sin,0.2534294558296318,0.36309329195450574
BC2_cos,-0.3396196177588484,-0.1970956809469608
AC2_sin,-0.20540859075402265,0.2747121607691558
AC2_cos,-0.16663923030164748,0.5565249872909848
dc,-0.3011978700959905,0.13315710962780378
