TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc
Non-binding_donor1_row24097_cand000529,rosetta_sidechain,3106.726692678067,AB,MP,P,M,MP_AB,M_P,1645.0794231163181,1645.0794231163181,697.7737143756003,0.0,0.0,0.0,1645.0794231162583
Non-binding_donor1_row24062_cand000015,rosetta_sidechain,74254.74996464803,AB,MP,P,M,MP_AB,M_P,68202.81999591019,68202.81999591019,4150.819729151213,2.2111815397590817,2.2111815397590817,294.9297473807718,68202.81999590999
Non-binding_donor1_row24200_cand000350,rosetta_sidechain,4972.763420677528,AB,MP,P,M,MP_AB,M_P,1036.2666811369336,1036.2666811369336,789.9130974617908,55.35257619849153,55.35257619849153,212.5762237280226,1036.266681136969
Non-binding_donor1_row24533_cand000566,rosetta_sidechain,26279.033041094182,AB,MP,P,M,MP_AB,M_P,631.3528356106035,631.3528356106035,421.9258689034116,0.00022725982489646412,0.00022725982489646412,0.0,631.3528356107417
Non-binding_donor1_row24424_cand000325,rosetta_sidechain,1037.481548029216,AB,MP,P,M,MP_AB,M_P,0.12070702475261896,0.12070702475261896,38.61385053957606,-19.637456940242146,-19.637456940242146,1848.6426208027322,0.12070702497976527
Non-binding_donor1_row24694_cand000358,rosetta_sidechain,3150.6456650411396,AB,MP,P,M,MP_AB,M_P,-0.33211473907340405,-0.33211473907340405,96.75422755393554,2404.5044596922194,2404.5044596922194,379.88983882267627,-0.3321147393185129
Non-binding_donor1_row24715_cand000458,rosetta_sidechain,1357.129800463606,AB,MP,P,M,MP_AB,M_P,-5.179719556660984,-5.179719556660984,378.30917556784345,0.1662387988271803,0.1662387988271803,25.574650838304407,-5.179719556291957
Non-binding_donor1_row24711_cand000353,rosetta_sidechain,4729.513809683797,AB,MP,P,M,MP_AB,M_P,561.0652931342802,561.0652931342802,463.2961218091719,-0.36136365258744263,-0.36136365258744263,124.55525917117853,561.0652931343138
Non-binding_donor1_row24585_cand000053,rosetta_sidechain,3996.382189915828,AB,MP,P,M,MP_AB,M_P,-1.9167348619403128,-1.9167348619403128,373.45683445250546,-8.981058607178738,-8.981058607178738,1430.4087128007247,-1.91673486168429
Non-binding_donor1_row2481_cand000033,rosetta_sidechain,15105.985810097854,AB,MP,P,M,MP_AB,M_P,5929.740729676299,5929.740729676299,1545.3904764448257,133.2177358004476,133.2177358004476,403.444841192686,5929.740729675921
Non-binding_donor1_row2497_cand000535,rosetta_sidechain,1364.7785290542645,AB,MP,P,M,MP_AB,M_P,369.6769963031793,369.6769963031793,584.8494301809578,0.6446552735563955,0.6446552735563955,339.55012914853916,369.67699630309005
Non-binding_donor1_row2834_cand000058,rosetta_sidechain,1449.687867936979,AB,MP,P,M,MP_AB,M_P,-1.8786909601928983,-1.8786909601928983,402.63791730184755,-25.962718085987717,-25.962718085987717,1891.8171485470903,-1.8786909603115873
Non-binding_donor1_row2576_cand000395,rosetta_sidechain,1679.2341144357752,AB,MP,P,M,MP_AB,M_P,976.4745562830622,976.4745562830622,1551.7024092640406,-30.385245770322342,-30.385245770322342,1845.3801194955834,976.474556282787
