TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc
Non-binding_donor2_row27946_cand000496,rosetta_sidechain,5076.186041423363,AB,MP,P,M,MP_AB,M_P,-0.2230284484103322,-0.2230284484103322,246.04088755308157,0.0,0.0,0.0,-0.22302844859677862
Non-binding_donor2_row28067_cand000024,rosetta_sidechain,2289.1015554435025,AB,MP,P,M,MP_AB,M_P,-0.02890594736163621,-0.02890594736163621,31.214833577992522,-0.8089898953678585,-0.8089898953678585,104.42042727443321,-0.028905947683597333
Non-binding_donor2_row28169_cand000458,rosetta_sidechain,6201.219822546369,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,5308.7642059831,5308.7642059831,912.0835697711194,0.0
Non-binding_donor2_row28236_cand000378,rosetta_sidechain,2729.512453708741,AB,MP,P,M,MP_AB,M_P,0.7437385857579102,0.7437385857579102,73.25979974449824,0.0,0.0,0.0,0.7437385857351728
Non-binding_donor2_row28152_cand000464,rosetta_sidechain,27450.515952781796,AB,MP,P,M,MP_AB,M_P,12482.563059481381,12482.563059481381,1597.1097638700423,13712.083468862842,13712.083468862842,1144.874608017742,12482.563059481658
Non-binding_donor2_row28348_cand000571,rosetta_sidechain,2393.896013995508,AB,MP,P,M,MP_AB,M_P,87.65961468206297,87.65961468206297,289.5824308895683,-1.1331754341965166,-1.1331754341965166,1416.7887295805403,87.6596146818797
Non-binding_donor2_row28608_cand000006,rosetta_sidechain,2594.021429428412,AB,MP,P,M,MP_AB,M_P,151.01540926024063,151.01540926024063,135.51941753220694,-0.055178114405634915,-0.055178114405634915,11.942202088751486,151.01540926063763
Non-binding_donor2_row28577_cand000147,rosetta_sidechain,2352.124563264326,AB,MP,P,M,MP_AB,M_P,1518.908339049187,1518.908339049187,1082.3177567799094,-14.158517135329248,-14.158517135329248,1427.50030389222,1518.9083390490364
Non-binding_donor2_row29075_cand000133,rosetta_sidechain,2715.4156206441103,AB,MP,P,M,MP_AB,M_P,-38.69067085650158,-38.69067085650158,415.91905066552135,-23.530257233317116,-23.530257233317116,1733.9421111498252,-38.69067085677216
Non-binding_donor2_row29229_cand000092,rosetta_sidechain,83803.2213072438,AB,MP,P,M,MP_AB,M_P,0.00043975717562716454,0.00043975717562716454,0.0,0.0,0.0,0.0,0.00043975713197141886
Non-binding_donor2_row29938_cand000518,rosetta_sidechain,12482.098516317992,AB,MP,P,M,MP_AB,M_P,4571.968299242906,4571.968299242906,492.9756939639402,-0.11936528898297638,-0.11936528898297638,50.102647116735085,4571.968299242999
Non-binding_donor2_row30244_cand000295,rosetta_sidechain,21664.854308574228,AB,MP,P,M,MP_AB,M_P,0.010833991174877156,0.010833991174877156,21.494893291144827,15105.44126864516,15105.44126864516,1184.8617301549002,0.01083399079288938
Non-binding_donor2_row29440_cand000188,rosetta_sidechain,54785.955867671706,AB,MP,P,M,MP_AB,M_P,52933.94683849833,52933.94683849833,3067.1036999018124,-0.148444060024417,-0.148444060024417,188.73602680121797,52933.946838498516
Non-binding_donor2_row30263_cand000275,rosetta_sidechain,26544.560350628813,AB,MP,P,M,MP_AB,M_P,0.0,0.0,0.0,20393.925176538512,20393.925176538512,1375.9633839812907,0.01967901354873902
Non-binding_donor2_row30382_cand000091,rosetta_sidechain,13368.18535906197,AB,MP,P,M,MP_AB,M_P,13.799372908026271,13.799372908026271,249.84553466801358,0.0,0.0,0.0,13.799372908020814
