TCR_name,minimization_mode,total_score,tcr_chains,pmhc_chains,peptide_chain,mhc_only_chains,partners_tcr_pmhc,partners_pep_mhc,interface_dG_tcr_pmhc,dG_separated_tcr_pmhc,delta_sasa_tcr_pmhc,interface_dG_pep_mhc,dG_separated_pep_mhc,delta_sasa_pep_mhc,dE_binding_tcr_pmhc
Binding_donor1_row661_cand00167,none,26198.56353982253,AB,MP,P,M,MP_AB,M_P,6700.418913128193,6700.418913128193,1858.2666067658147,1851.8682387794606,1851.8682387794606,1574.2609605004832,6700.418913128331
Binding_donor1_row676_cand00201,none,31588.938048080356,AB,MP,P,M,MP_AB,M_P,5517.631862796476,5517.631862796476,1869.3814995180637,2348.1361556553047,2348.1361556553047,1573.3797631536986,5517.631862796497
Binding_donor1_row704_cand00452,none,21954.220529880677,AB,MP,P,M,MP_AB,M_P,6454.598130273493,6454.598130273493,2099.741418228961,2004.2801093884418,2004.2801093884418,1507.053535965862,6454.598130273716
Binding_donor1_row732_cand00286,none,19845.305433984173,AB,MP,P,M,MP_AB,M_P,4471.597488922316,4471.597488922316,1787.15559434022,2708.5996060786056,2708.5996060786056,1662.9891867693673,4471.597488922602
Binding_donor1_row719_cand00140,none,24453.866570400172,AB,MP,P,M,MP_AB,M_P,5133.628564893363,5133.628564893363,1916.416959306477,1748.2214631371044,1748.2214631371044,1502.123345408866,5133.628564893177
Binding_donor1_row776_cand00026,none,23139.987012503214,AB,MP,P,M,MP_AB,M_P,6196.386499630797,6196.386499630797,2082.6819185303807,2027.7303496540944,2027.7303496540944,1535.8700777121037,6196.386499631404
Binding_donor1_row763_cand00204,none,44317.654237495866,AB,MP,P,M,MP_AB,M_P,20377.077080461542,20377.077080461542,1850.7893214835533,2417.829928525848,2417.829928525848,1651.0097742609637,20377.077080461615
Binding_donor1_row789_cand00188,none,16968.470306543968,AB,MP,P,M,MP_AB,M_P,5907.70868426686,5907.70868426686,2091.107220120213,1968.6064930341054,1968.6064930341054,1605.242206968408,5907.708684266581
Binding_donor1_row856_cand00525,none,10245.597890520625,AB,MP,P,M,MP_AB,M_P,1071.2106877314272,1071.2106877314272,2057.9667221148916,2631.523126014434,2631.523126014434,1618.6081245486334,1071.2106877314218
Binding_donor1_row807_cand00343,none,15760.60352591516,AB,MP,P,M,MP_AB,M_P,2979.2500852678404,2979.2500852678404,1828.0681598599565,1921.7971204627665,1921.7971204627665,1518.5385626318364,2979.250085268026
Binding_donor1_row86_cand00459,none,20566.745600549257,AB,MP,P,M,MP_AB,M_P,5989.504346713416,5989.504346713416,1961.9063366303026,3303.1761569511127,3303.1761569511127,1569.046979407113,5989.504346713686
Binding_donor1_row911_cand00536,none,24260.591761585147,AB,MP,P,M,MP_AB,M_P,7158.793958145194,7158.793958145194,1819.4778742351887,2298.458144465643,2298.458144465643,1571.0773791035997,7158.793958145732
Binding_donor1_row908_cand00252,none,14565.269603889788,AB,MP,P,M,MP_AB,M_P,5054.8818161011495,5054.8818161011495,1978.730418562355,2801.6115488267997,2801.6115488267997,1616.5786944795095,5054.881816101064
Binding_donor1_row924_cand00548,none,22504.373217816315,AB,MP,P,M,MP_AB,M_P,10602.511712041556,10602.511712041556,1835.528883906871,3303.1023473777113,3303.1023473777113,1592.4289692276272,10602.511712041392
Binding_donor1_row939_cand00580,none,22725.72941765426,AB,MP,P,M,MP_AB,M_P,8958.650307300055,8958.650307300055,1886.2427918697695,2438.9577321177144,2438.9577321177144,1590.100552622108,8958.650307300086
Binding_donor1_row976_cand00258,none,21768.13175936093,AB,MP,P,M,MP_AB,M_P,6411.982197696836,6411.982197696836,1750.8885910830652,3378.416759983709,3378.416759983709,1590.3951797138825,6411.982197696827
Binding_donor2_row1672_cand00314,none,26941.631875324645,AB,MP,P,M,MP_AB,M_P,12865.810927781287,12865.810927781287,2222.8523282383967,2428.321175123994,2428.321175123994,1541.1458977601271,12865.810927781262
Binding_donor2_row1661_cand00064,none,13243.251044670404,AB,MP,P,M,MP_AB,M_P,1128.92560899823,1128.92560899823,1834.165029330231,2604.3249367105905,2604.3249367105905,1559.3010686209957,1128.9256089979935
Binding_donor2_row1721_cand00059,none,16900.61338110754,AB,MP,P,M,MP_AB,M_P,3402.0914673904736,3402.0914673904736,1772.5352116638503,2967.4307844909426,2967.4307844909426,1581.1647228335212,3402.09146739071
Binding_donor2_row1723_cand00094,none,13168.164412136102,AB,MP,P,M,MP_AB,M_P,3734.6562639688946,3734.6562639688946,1957.1658439704513,2816.8639297170303,2816.8639297170303,1534.2544690871373,3734.6562639685926
Binding_donor2_row1678_cand00380,none,26014.501025142214,AB,MP,P,M,MP_AB,M_P,6730.88197189528,6730.88197189528,1759.8738951381822,3854.211301319505,3854.211301319505,1657.5777197318796,6730.88197189508
Binding_donor2_row1731_cand00121,none,20649.400137966662,AB,MP,P,M,MP_AB,M_P,6176.504010429899,6176.504010429899,1737.08022090193,1870.9821384640545,1870.9821384640545,1609.0027011317736,6176.504010430022
Binding_donor2_row1737_cand00592,none,12086.593087458545,AB,MP,P,M,MP_AB,M_P,2965.470790129126,2965.470790129126,1809.770190038199,2317.393414828609,2317.393414828609,1604.5333473104745,2965.470790128855
Binding_donor2_row1739_cand00601,none,18368.706759871842,AB,MP,P,M,MP_AB,M_P,6973.6635973274515,6973.6635973274515,1871.079844506595,2016.4376090080077,2016.4376090080077,1540.5561005852546,6973.66359732741
Binding_donor2_row1772_cand00186,none,15937.278092424325,AB,MP,P,M,MP_AB,M_P,5172.388883289654,5172.388883289654,1971.1724214984615,3350.177346997849,3350.177346997849,1587.4499327226324,5172.388883289359
Binding_donor2_row1763_cand00145,none,17847.22044299354,AB,MP,P,M,MP_AB,M_P,5552.142641705583,5552.142641705583,1751.7194453772033,1913.7347551349303,1913.7347551349303,1551.655425000577,5552.142641705477
Binding_donor2_row1782_cand00290,none,20117.371460261034,AB,MP,P,M,MP_AB,M_P,6550.404365899365,6550.404365899365,1723.2422576937,3305.030018915005,3305.030018915005,1594.9821221846526,6550.404365899089
Binding_donor2_row1764_cand00545,none,30321.254037923485,AB,MP,P,M,MP_AB,M_P,10150.935555196469,10150.935555196469,1882.2544352762816,1824.6621868679222,1824.6621868679222,1553.3980470529755,10150.935555196604
Binding_donor2_row1797_cand00166,none,24736.994162691877,AB,MP,P,M,MP_AB,M_P,11043.544730258764,11043.544730258764,1915.1433886727875,1896.5300947011574,1896.5300947011574,1549.4741900716233,11043.544730259215
Binding_donor2_row1811_cand00561,none,22581.01357495342,AB,MP,P,M,MP_AB,M_P,8941.125665895439,8941.125665895439,2001.339755001521,3241.195017310726,3241.195017310726,1535.5664835064838,8941.125665895495
Binding_donor2_row1800_cand00415,none,17904.338963731952,AB,MP,P,M,MP_AB,M_P,5052.073598778388,5052.073598778388,1965.4804994427257,3462.8595321136854,3462.8595321136854,1641.1619129754727,5052.073598778508
Binding_donor2_row1836_cand00110,none,20465.138365603198,AB,MP,P,M,MP_AB,M_P,6605.6572385960935,6605.6572385960935,2063.1943167764266,2381.4723303106866,2381.4723303106866,1553.3796629181882,6605.657238595726
Binding_donor2_row1826_cand00406,none,21760.656313081676,AB,MP,P,M,MP_AB,M_P,8217.14093792362,8217.14093792362,1897.518130800899,2048.6619667137043,2048.6619667137043,1681.7540748296374,8217.140937923336
Binding_donor2_row1847_cand00272,none,13004.53525267341,AB,MP,P,M,MP_AB,M_P,2472.679056093677,2472.679056093677,1765.3979320339145,2883.6948199627686,2883.6948199627686,1556.7928055323314,2472.6790560941026
Binding_donor2_row1872_cand00505,none,215737.33681231685,AB,MP,P,M,MP_AB,M_P,7171.9363976616005,7171.9363976616005,1363.9563719996484,4607.7405090414395,4607.7405090414395,1003.9592917849748,7171.9363976621535
Binding_donor2_row1856_cand00518,none,19601.32226719553,AB,MP,P,M,MP_AB,M_P,5486.477052545024,5486.477052545024,1704.7558233408029,1767.153911491081,1767.153911491081,1484.8819436171339,5486.477052545546
Binding_donor2_row1892_cand00579,none,20278.594608139345,AB,MP,P,M,MP_AB,M_P,10021.681206831952,10021.681206831952,2186.105336165887,1818.77630413953,1818.77630413953,1528.4869083401286,10021.68120683174
Binding_donor2_row1875_cand00336,none,14244.476240883174,AB,MP,P,M,MP_AB,M_P,1495.1046259857558,1495.1046259857558,1914.6203639165874,1832.2935369426323,1832.2935369426323,1505.6116069940151,1495.1046259858322
Binding_donor2_row1897_cand00583,none,22489.769220990434,AB,MP,P,M,MP_AB,M_P,8462.069480504888,8462.069480504888,1844.3450073798292,1770.8660155517582,1770.8660155517582,1531.628477722662,8462.069480504728
Binding_donor2_row1919_cand00031,none,16505.089827687156,AB,MP,P,M,MP_AB,M_P,3874.442736604635,3874.442736604635,1640.1060741052245,1839.8650807745662,1839.8650807745662,1543.7757055778995,3874.4427366048185
Binding_donor2_row1929_cand00491,none,22170.09873606418,AB,MP,P,M,MP_AB,M_P,9542.52885683482,9542.52885683482,1801.2367400908954,1845.6940863773762,1845.6940863773762,1564.7954892185762,9542.528856835175
Binding_donor2_row1908_cand00421,none,15411.759583169925,AB,MP,P,M,MP_AB,M_P,4550.176598712549,4550.176598712549,2346.1118937579886,2149.755551353404,2149.755551353404,1514.4110296052856,4550.176598713086
Binding_donor2_row1930_cand00494,none,13238.036309698762,AB,MP,P,M,MP_AB,M_P,1474.9929647269637,1474.9929647269637,1844.1538046210187,1736.9102877897694,1736.9102877897694,1490.4013961146975,1474.9929647264871
Binding_donor2_row1934_cand00266,none,17162.40512556929,AB,MP,P,M,MP_AB,M_P,2116.389947247253,2116.389947247253,1648.9349113321548,1905.8524888003858,1905.8524888003858,1537.3999712782506,2116.3899472473113
Binding_donor2_row1956_cand00471,none,22026.135367759234,AB,MP,P,M,MP_AB,M_P,5182.673365872051,5182.673365872051,1628.31470724894,2627.8933451427274,2627.8933451427274,1607.986973806245,5182.673365872244
Binding_donor2_row1976_cand00244,none,19153.829080538162,AB,MP,P,M,MP_AB,M_P,6919.3680804228425,6919.3680804228425,1771.886057780373,2235.8314780081946,2235.8314780081946,1543.4753693202165,6919.368080422937
Binding_donor2_row1993_cand00377,none,21008.17836024258,AB,MP,P,M,MP_AB,M_P,9571.589686894058,9571.589686894058,1866.1535014309723,1876.1361277449541,1876.1361277449541,1638.78355668229,9571.589686893978
