,PC1_loading,PC2_loading
BA_sin,-0.18516568083862742,0.29766625034738975
BA_cos,-0.1734568348847355,0.29844894835191776
BC1_sin,0.469822429024688,0.03800506224161879
BC1_cos,0.4569159638924507,0.054509111891874594
AC1_sin,0.21158335717267715,0.4915307751949488
AC1_cos,-0.22635789451255012,-0.4827372238570394
BC2_sin,0.29680258935423454,0.10493636116177056
BC2_cos,-0.35698470494955375,-0.048176047173644494
AC2_sin,-0.2520885465709079,0.4043990485564296
AC2_cos,-0.25770233245834173,0.4063237654703315
dc,-0.25421779377985587,-0.036048662403702504
